trade_date,qid_date,open,high,low,close,vol,amount,pct_chg,group_len,total_profit
2017/12/6,2017/12/5,1755.768,1784.822,1744.493,1784.315,133752.48,1995581.02,0.014628,10,1014628
2017/12/7,2017/12/6,1780.975,1791.055,1774.995,1776.99,113452.13,1736762.02,-0.004105,6,1010462.952
2017/12/8,2017/12/7,1776.265,1803.362,1776.265,1792.155,118325.05,1817082.68,0.008534,4,1019086.243
2017/12/11,2017/12/8,1800.133,1816.985,1800.133,1816.985,135396.79,2058577.98,0.013855,6,1033205.683
2017/12/12,2017/12/11,1818.409,1821.484,1798.691,1798.691,122781.4,2023301.73,-0.010068,17,1022803.368
2017/12/13,2017/12/12,1795.475,1806.188,1787.706,1806.09,103126.87,1721876.13,0.004114,6,1027011.181
2017/12/14,2017/12/13,1804.19,1809.671,1787.672,1794.344,107416.61,1705232.1,-0.006504,10,1020331.5
2017/12/15,2017/12/14,1793.24,1801.414,1780.267,1783.973,117484.64,1855696.11,-0.00578,6,1014433.984
2017/12/18,2017/12/15,1784.415,1790.868,1773.319,1780.644,100092.26,1663987.4,-0.001866,5,1012541.05
2017/12/19,2017/12/18,1781.808,1802.577,1781.808,1798.502,109226.61,1814882.73,0.010029,11,1022695.825
2017/12/20,2017/12/19,1798.357,1799.365,1779.681,1782.413,106753.08,1721130.53,-0.008946,14,1013546.788
2017/12/21,2017/12/20,1776.452,1796.583,1762.979,1789.736,118994.57,1918075.06,0.004108,13,1017710.438
2017/12/22,2017/12/21,1788.657,1795.068,1778.609,1779.339,113820.35,1822312.42,-0.005809,12,1011798.558
2017/12/25,2017/12/22,1778.959,1780.517,1751.906,1755.806,123207.47,1840315.34,-0.013226,5,998416.5103
2017/12/26,2017/12/25,1755.144,1760.464,1742.258,1758.821,98696.96,1531781.12,0.001717,18,1000130.791
2017/12/27,2017/12/26,1756.036,1760.424,1743.773,1745.236,106332.47,1659393.04,-0.007724,13,992405.7812
2017/12/28,2017/12/27,1742.468,1759.104,1742.021,1745.017,110934.08,1661412.17,-0.000125,11,992281.7305
2017/12/29,2017/12/28,1745.948,1753.984,1741.001,1752.652,103161,1564273.54,0.004375,19,996622.9631
2018/1/2,2017/12/29,1759.02,1770.011,1748.531,1769.672,105783.6,1766783.97,0.009711,0,1006301.169
2018/1/3,2018/1/2,1770.035,1798.78,1766.337,1795.383,135877.03,2370885.3,0.014529,9,1020921.718
2018/1/4,2018/1/3,1790.653,1795.253,1788.537,1794.609,112938.01,2041056.09,-0.000431,11,1020481.701
2018/1/5,2018/1/4,1797.258,1804.878,1795.255,1801.419,123289.31,2267073.99,0.003795,16,1024354.429
2018/1/8,2018/1/5,1801.176,1806.156,1785.38,1806.156,144235.85,2516787.66,0.00263,15,1027048.481
2018/1/9,2018/1/8,1803.364,1808.658,1799.419,1803.586,117124.44,2047292.72,-0.001423,20,1025586.991
2018/1/10,2018/1/9,1803.601,1804.727,1780.099,1791.084,128424.88,2250037.38,-0.006932,16,1018477.622
2018/1/11,2018/1/10,1787.385,1807.151,1776.008,1804.235,146313.91,2486359.78,0.007342,18,1025955.285
2018/1/12,2018/1/11,1800.886,1802.522,1785.608,1785.705,121839.15,2060201.62,-0.01027,17,1015418.724
2018/1/15,2018/1/12,1778.794,1780.195,1727.005,1732.622,164561.35,2593084.23,-0.029727,19,985233.3718
2018/1/16,2018/1/15,1729.559,1740.845,1720.649,1729.597,133147.26,2201565.91,-0.001746,17,983513.1543
2018/1/17,2018/1/16,1722.451,1750.063,1697.624,1742.034,160896.27,2541076.02,0.007191,16,990585.5974
2018/1/18,2018/1/17,1735.459,1754.616,1734.775,1738.002,111418.85,1755359.35,-0.002315,21,988292.3918
2018/1/19,2018/1/18,1735.03,1745.592,1726.527,1728.14,134537.9,2196366.51,-0.005674,21,982684.8207
2018/1/22,2018/1/19,1726.317,1776.181,1715.428,1768.214,189120.29,3034635.5,0.023189,20,1005472.299
2018/1/23,2018/1/22,1767.33,1776.495,1760.339,1767.829,135885.38,2308295.98,-0.000218,16,1005253.106
2018/1/24,2018/1/23,1763.686,1817.084,1752.304,1813.275,274947.03,4477474.1,0.025707,16,1031095.148
2018/1/25,2018/1/24,1811.114,1852.226,1807.515,1810.835,295953.89,4619252.62,-0.001346,24,1029707.294
2018/1/26,2018/1/25,1809.131,1830.547,1809.131,1816.8,202047.9,3159297.04,0.003294,33,1033099.149
2018/1/29,2018/1/26,1811.542,1826.097,1791.578,1799.771,222639.45,3473572.38,-0.009373,31,1023415.911
2018/1/30,2018/1/29,1794.328,1808.011,1779.33,1782.399,177117.07,2686954.1,-0.009652,26,1013537.901
2018/1/31,2018/1/30,1766.767,1767.777,1732.98,1735.057,201138.92,3036853.36,-0.026561,24,986617.3205
2018/2/1,2018/1/31,1735.663,1746.545,1697.39,1697.39,190295.42,2863008.46,-0.021709,39,965198.8451
2018/2/2,2018/2/1,1683.179,1726.89,1676.243,1702.426,177172.54,2671522.25,0.002967,18,968062.5901
2018/2/5,2018/2/2,1678.187,1698.281,1674.975,1688.272,148973.09,2215885.67,-0.008314,23,960014.1177
2018/2/6,2018/2/5,1653.447,1675.563,1597.886,1598.116,202717.78,2940727.73,-0.053401,16,908748.4038
2018/2/7,2018/2/6,1632.872,1637.777,1571.47,1616.4,227020.03,3178359.31,0.011441,12,919145.3943
2018/2/8,2018/2/7,1608.729,1651.586,1608.631,1641.431,182603.89,2605706.85,0.015486,14,933379.2799
2018/2/9,2018/2/8,1598.475,1629.356,1576.886,1592.51,208764.6,2931604.98,-0.029804,12,905560.8438
2018/2/12,2018/2/9,1604.562,1654.654,1604.562,1648.072,167038.78,2455617.13,0.03489,8,937155.8617
2018/2/13,2018/2/12,1657.128,1669.079,1644.866,1648.582,149151.67,2306287.2,0.000309,13,937445.4428
2018/2/14,2018/2/13,1649.573,1652.009,1633.762,1646.771,100243.78,1483708.78,-0.001099,11,936415.1903
2018/2/22,2018/2/14,1661.559,1679.794,1650.875,1677.765,140053.15,2105890.92,0.018821,0,954039.4606
2018/2/23,2018/2/22,1674.624,1681.245,1656.953,1668.834,125200.92,1916787.28,-0.005323,11,948961.1085
2018/2/26,2018/2/23,1683.146,1733.708,1673.954,1729.153,199213.65,3150592.79,0.036144,15,983260.3589
2018/2/27,2018/2/26,1729.937,1757.374,1728.311,1743.541,228407.52,3514517.3,0.008321,13,991442.0683
2018/2/28,2018/2/27,1730.152,1773.733,1723.395,1753.627,216407.63,3362771.29,0.005785,33,997177.5607
2018/3/1,2018/2/28,1744.341,1789.849,1741.028,1789.849,231927.66,3526065.22,0.020655,77,1017774.263
2018/3/2,2018/3/1,1777.458,1804.25,1767.901,1772.005,207223.31,3251957.67,-0.00997,58,1007627.054
2018/3/5,2018/3/2,1780.822,1795.693,1768.881,1795.693,167113.4,2671280.93,0.013368,21,1021097.012
2018/3/6,2018/3/5,1798.035,1810.256,1790.543,1797.61,195313.45,3198300.76,0.001068,16,1022187.544
2018/3/7,2018/3/6,1795.174,1800.451,1780.296,1785.27,158201.99,2479558.47,-0.006865,9,1015170.226
2018/3/8,2018/3/7,1783.104,1795.817,1781.456,1793.222,139190.39,2271680.08,0.004454,11,1019691.795
2018/3/9,2018/3/8,1794.254,1858.028,1793.924,1856.455,279551.47,4362820.16,0.035262,15,1055648.167
2018/3/12,2018/3/9,1872.028,1901.151,1872.028,1882.409,278559.75,4681519.83,0.01398,11,1070406.128
2018/3/13,2018/3/12,1879.626,1896.504,1863.16,1872.678,219716.05,3704630.64,-0.005169,13,1064873.199
2018/3/14,2018/3/13,1863.573,1874.153,1840.349,1841.289,176823.96,3020720.05,-0.016762,14,1047023.794
2018/3/15,2018/3/14,1833.77,1848.715,1812.481,1848.71,181107.18,2962275.3,0.00403,14,1051243.3
2018/3/16,2018/3/15,1847.178,1857.15,1821.322,1821.322,177972.66,2919988.78,-0.014815,18,1035669.131
2018/3/19,2018/3/16,1822.603,1860.202,1818.62,1842.92,192350.59,3147223.37,0.011858,23,1047950.095
2018/3/20,2018/3/19,1828.006,1867.459,1825.675,1864.62,177391.47,2999727.79,0.011775,26,1060289.707
2018/3/21,2018/3/20,1866.81,1877.134,1829.913,1829.913,206482.7,3453147.06,-0.018613,27,1040554.535
2018/3/22,2018/3/21,1830.559,1841.403,1814.686,1817.228,180051.38,2858817.24,-0.006932,13,1033341.411
2018/3/23,2018/3/22,1751.743,1792.231,1710.403,1726.021,269285.79,4122904.16,-0.05019,14,981478.0057
2018/3/26,2018/3/23,1704.355,1781.837,1693.735,1780.609,215410.44,3405300.5,0.031626,16,1012518.229
2018/3/27,2018/3/26,1799.147,1846.541,1797.087,1844.693,269612.31,4393111.06,0.03599,19,1048958.76
